dataset,method,query_id,k,matches,elapsed_ms,status,ts
sentiment,sed_plain_topdiff_within,38,30,141,261.181,ok,2026-07-15T19:57:36+02:00
sentiment,sed_plain_topdiff_within,39,30,74,201.539,ok,2026-07-15T19:57:36+02:00
sentiment,sed_plain_topdiff_within,40,29,103,205.061,ok,2026-07-15T19:57:37+02:00
sentiment,sed_plain_topdiff_within,41,29,77,212.079,ok,2026-07-15T19:57:37+02:00
sentiment,sed_plain_topdiff_within,42,30,149,192.825,ok,2026-07-15T19:57:37+02:00
sentiment,sed_plain_topdiff_within,43,31,151,250.146,ok,2026-07-15T19:57:37+02:00
sentiment,sed_plain_topdiff_within,44,30,115,247.237,ok,2026-07-15T19:57:38+02:00
sentiment,sed_plain_topdiff_within,45,30,146,263.811,ok,2026-07-15T19:57:38+02:00
sentiment,sed_plain_topdiff_within,46,30,80,198.553,ok,2026-07-15T19:57:38+02:00
sentiment,sed_plain_topdiff_within,47,30,166,298.117,ok,2026-07-15T19:57:38+02:00
sentiment,sed_plain_topdiff_within,48,30,73,214.011,ok,2026-07-15T19:57:39+02:00
sentiment,sed_plain_topdiff_within,49,30,68,205.154,ok,2026-07-15T19:57:39+02:00
sentiment,sed_plain_topdiff_within,50,30,138,247.942,ok,2026-07-15T19:57:39+02:00
sentiment,sed_plain_topdiff_within,51,31,132,287.074,ok,2026-07-15T19:57:39+02:00
sentiment,sed_plain_topdiff_within,52,30,143,278.241,ok,2026-07-15T19:57:40+02:00
sentiment,sed_plain_topdiff_within,53,29,92,224.799,ok,2026-07-15T19:57:40+02:00
sentiment,sed_plain_topdiff_within,54,30,57,191.521,ok,2026-07-15T19:57:40+02:00
sentiment,sed_plain_topdiff_within,55,30,110,221.448,ok,2026-07-15T19:57:40+02:00
sentiment,sed_plain_topdiff_within,56,31,132,242.538,ok,2026-07-15T19:57:41+02:00
sentiment,sed_plain_topdiff_within,57,30,92,182.551,ok,2026-07-15T19:57:41+02:00
sentiment,sed_plain_topdiff_within,58,30,70,275.836,ok,2026-07-15T19:57:41+02:00
sentiment,sed_plain_topdiff_within,59,30,68,202.400,ok,2026-07-15T19:57:41+02:00
sentiment,sed_plain_topdiff_within,60,31,155,248.615,ok,2026-07-15T19:57:42+02:00
sentiment,sed_plain_topdiff_within,61,31,174,254.303,ok,2026-07-15T19:57:42+02:00
sentiment,sed_plain_topdiff_within,62,30,115,238.605,ok,2026-07-15T19:57:42+02:00
sentiment,sed_plain_topdiff_within,63,30,112,205.179,ok,2026-07-15T19:57:42+02:00
sentiment,sed_plain_topdiff_within,64,30,71,197.468,ok,2026-07-15T19:57:43+02:00
sentiment,sed_plain_topdiff_within,65,31,93,187.125,ok,2026-07-15T19:57:43+02:00
sentiment,sed_plain_topdiff_within,66,30,88,212.211,ok,2026-07-15T19:57:43+02:00
sentiment,sed_plain_topdiff_within,67,29,83,157.688,ok,2026-07-15T19:57:43+02:00
sentiment,sed_plain_topdiff_within,68,30,72,207.485,ok,2026-07-15T19:57:44+02:00
